MovieID,Year,Class,G,PG,PG-13,R,NR,CompHigh,CompMed,CompLow,StarHigh,StarMed,StarLow,Sci_Fi,HistEpicDrama,ModernDrama,Political,Thriller,Horror,Comedy,Cartoon,Action,Docum,TechHigh,TechMedium,TechLow,Sequel,NoScreens,Revenue,LT_1M,1M_10M,10M_20M,20M_40M,40M_65M,65M_100M,100M_150M,150M_200M,GT_200M
48,2004,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2400,12145000,0,0,1,0,0,0,0,0,0
49,2005,4,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1387,,0,0,0,1,0,0,0,0,0
50,2004,7,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,3411,133228000,0,0,0,0,0,0,1,0,0
51,2005,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2555,,0,0,1,0,0,0,0,0,0
52,2005,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2223,,0,0,1,0,0,0,0,0,0
53,2004,5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2755,64329000,0,0,0,0,1,0,0,0,0
54,2004,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1016,8054000,0,1,0,0,0,0,0,0,0
55,2004,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2445,34264000,0,0,0,1,0,0,0,0,0
56,2005,7,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3776,,0,0,0,0,0,0,1,0,0
57,2004,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2304,6331000,0,1,0,0,0,0,0,0,0
58,2004,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2914,77032000,0,0,0,0,0,1,0,0,0
59,2004,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2011,119078000,0,0,0,0,0,0,1,0,0
60,2005,6,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2649,,0,0,0,0,0,1,0,0,0
61,2004,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1589,39671000,0,0,0,1,0,0,0,0,0
62,2004,7,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,3733,114171000,0,0,0,0,0,0,1,0,0
63,2005,4,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3044,,0,0,0,1,0,0,0,0,0
64,2004,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2323,81002000,0,0,0,0,0,1,0,0,0
65,2005,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1016,,0,0,0,1,0,0,0,0,0
66,2005,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,493,,0,0,1,0,0,0,0,0,0
67,2005,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2503,,0,0,1,0,0,0,0,0,0
