firmID,RET
600553,-0.481191
600555,-0.884273
600556,-2.036221
600557,1.332223
600558,-0.2346
600559,0.41572
600560,-1.471995
600561,0.501975
600562,-1.223817
600563,-0.331624
600565,-0.560058
600566,-1.766496
600567,-1.290103
600568,-2.205928
600569,0.611759
600570,2.646382
600571,-0.443661
600572,1.282158
600573,-2.022463
600575,-0.146802
600576,-0.797292
600577,-0.686158
600578,-0.230802
600579,-1.147743
600580,-0.215253
600581,2.006731
600582,2.200783
600583,3.260505
600584,-0.326481
600585,3.030243
600586,2.089386
600587,-0.455139
600588,0.074658
600589,-1.167504
600590,-1.560915
600591,2.343084
600592,-0.55767
600593,-1.089769
600594,1.184551
600595,1.847923
600596,2.336564
600597,0.050639
600598,0.700308
600599,-0.007476
600600,0.661227
600601,-0.660849
600602,-1.5506
600603,-2.215859
600604,-0.517563
600605,-0.466605
600606,-0.507269
600607,-0.607726
600608,-2.111664
600609,-0.888607
600610,-0.881297
600611,0.753439
600612,0.302458
600613,-0.860592
600614,-0.427685
600615,-0.441512
600616,2.612279
600617,-1.842227
600618,-0.750285
600619,-0.358507
600620,-0.922173
600621,-1.022811
600622,-0.8235
600623,-0.516494
600624,-1.756248
600626,-0.289228
600628,0.454657
600629,-4.996211
600630,-1.356311
600631,0.508733
600633,-1.46074
600634,-1.433935
600635,-0.151414
600636,-0.2488
600637,-1.332065
600638,-0.382448
600639,0.090634
600640,-0.634545
600641,-1.35391
600642,-0.059981
600643,0.187573
600644,0.189422
600645,-1.916494
600647,-0.095242
600648,-0.791919
600649,0.120765
600650,0.310177
600651,-0.360591
600652,-0.946015
600653,-1.003924
600654,-1.802525
600655,0.15037
600656,-0.721754
600657,-2.201547
600658,-2.076221
600660,1.559675
600661,-1.248241
600662,-0.276427
600663,-0.42193
600664,1.172771
600665,-0.05807
600666,0.270544
600667,-0.028447
600668,-0.436278
600671,-0.945663
600673,1.396688
600674,0.310792
600675,0.065959
600676,-0.188261
600677,-1.618909
600678,-0.308273
600679,-0.641772
600680,-1.215561
600681,-2.275671
600682,0.639912
600683,-1.204032
600684,-0.476347
600685,2.043835
600686,0.854018
600687,-1.460742
600688,0.78697
600689,-0.432363
600690,0.135084
600691,-3.168883
600692,0.10448
600693,0.444868
600694,2.332267
600695,-1.216924
600696,-1.169378
600697,0.296723
600698,0.024619
600699,-1.578209
600701,-2.392973
600702,-0.616373
600703,-1.8694
600704,0.019888
600705,-2.1624
600706,-1.245164
600707,-2.291886
600708,-0.1687
600710,-0.425146
600711,-0.849265
600712,-0.854956
600713,0.517646
600714,-0.814847
600715,-2.115732
600716,-0.419397
600717,1.268349
600718,0.219086
600719,-1.742846
600720,-0.307141
600721,-1.971303
600722,-2.297548
600723,0.262253
600724,-0.41256
600725,1.568099
600726,-1.391753
600727,-1.905998
600728,-0.878617
600729,0.36505
600730,-0.335049
600731,-1.90547
600732,-0.961055
600733,-0.998836
600734,-3.957922
600735,-1.157072
600736,-0.883664
600737,-0.506894
600738,-0.983211
600739,1.950186
600740,-0.85485
600741,0.564778
600742,-1.609033
600743,-1.219454
600744,-1.524075
600745,-3.467072
600746,-0.647129
600747,-0.340307
600748,0.493004
600749,-0.941246
600750,0.57059
600751,-1.491266
600753,-1.785424
600754,0.102974
600755,1.284451
600756,-0.691841
600757,-2.179758
600758,-1.127681
600759,-3.832412
600760,-1.828065
600761,1.403997
600763,-1.3177
600764,0.267163
600765,0.427906
600766,-0.427107
600767,-1.67124
600768,-0.274138
