ARG,AUS,AUT,BEL,BRA,CAN,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,GRE,HKG,HUN,IDN,IND,IRL,ISR,ITA,JPN,KOR,MAR,MEX,MYS,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,RUS,SGP,SWE,SWZ,TAW,THA,TUR,USA,ZAF
-0.007248,0.035475,0.00587,0.01217,0.025382,0.073993,-0.021582,-0.026952,0.033668,-0.110995,0.008002,0.031551,0.019002,0.028677,0.022526,0.019679,0.043618,-0.020423,0.038627,0.03918,-0.007302,-0.022145,0.028201,-0.034148,-0.058374,-0.069946,-0.064906,0.030612,-0.062119,0.019529,0.022788,0.035391,0.060955,-0.007778,-0.07372,-0.079864,-0.098229,0.016894,0.08852,-0.035514,0.041572,-0.003836,-0.032116,-0.214682,0.043883,0.023679,-0.021201
0.064527,0.037885,0.022293,0.026985,0.000738,0.068978,-0.065341,0.10926,-0.024405,0.01329,0.037831,0.023327,0.165441,0.079005,0.079155,0.050486,0.052765,-0.044113,0.076299,0.039674,0.084613,-0.093227,0.027627,0.05964,0.074638,0.018405,-0.018566,-0.012948,0.037983,0.039974,0.058791,0.069033,0.011031,0.048501,-0.057298,0.04841,0.03423,0.01379,0.027404,0.035866,0.064037,0.007606,0.054812,0.023631,0.054921,0.071412,-0.020743
0.048972,-0.004964,0.014249,0.001764,0.048294,-0.036416,-0.052093,0.153327,-0.007492,0.058058,0.002069,0.045448,0.046214,0.094797,0.034497,0.008623,0.031437,0.010523,-0.007632,0.089711,0.024564,0.054372,0.010443,0.049,0.000714,-0.072145,-0.135834,0.023331,0.02492,0.00957,0.021549,0.056401,-0.004833,-0.12694,-0.017994,0.023082,0.031678,0.0428,0.051322,0.016487,0.007188,-0.020864,0.01613,-0.123355,-0.01094,-0.020615,-0.027614
0.086286,-0.043596,-0.042246,0.021666,0.10814,0.046715,0.097755,-0.022458,0.107239,0.037006,-0.005305,0.039338,0.267568,-0.018641,0.063772,0.021147,-0.032365,0.183177,-0.024214,0.26879,0.058912,0.086212,-0.013474,0.129445,0.099593,-0.115789,0.051437,0.035758,0.082568,0.013951,-0.009714,0.050031,-0.001892,0.187021,0.096614,0.092066,0.087021,0.093208,0.322701,0.020028,0.022043,0.028694,0.041877,-0.059866,0.422649,0.064839,0.03179
0.007211,0.026382,0.001702,0.013164,0.096864,-0.00924,0.051508,0.028986,0.100666,0.029146,0.039551,-0.007112,0.167774,-0.037812,-0.015667,0.00402,0.028281,0.061215,-0.004149,-0.030215,0.011541,0.066443,0.025575,0.027376,-0.113325,0.022546,-0.049273,0.060929,0.035057,0.042553,0.038175,-0.048444,-0.064008,0.053494,0.053231,-0.036392,0.06391,0.009482,0.16662,-0.011716,-0.005198,0.011671,0.059047,-0.088949,0.000905,0.00563,0.08699
-0.021962,-0.005698,0.009956,0.012329,-0.014703,-0.052848,-0.031031,-0.029334,0.00692,-0.083377,0.069917,0.029685,-0.018952,0.037877,0.00478,0.029327,0.00793,0.037033,-0.071391,-0.0221,-0.076725,-0.084292,-0.01479,-0.049112,0.023282,-0.03405,-0.035351,0.162845,-0.022289,-0.057952,0.022131,0.028206,-0.014458,-0.066258,0.025815,-0.031354,-0.080518,0.029885,-0.081309,-0.080537,0.045026,0.055756,-0.010097,-0.015958,-0.035599,-0.047285,0.008419
0.04781,0.024692,-0.043147,0.00795,0.066913,0.021896,0.031823,0.124074,0.069717,-0.118601,-0.037654,-0.031586,-0.010534,0.054964,0.000218,-0.042664,0.015714,0.022056,0.013472,0.073568,-0.030141,0.119142,-0.034716,0.017829,0.012641,0.035108,0.034102,0.070781,0.003652,-0.119688,-0.011878,-0.047739,0.00723,-0.037727,0.059239,-0.185825,-0.062241,0.000232,0.077952,-0.055475,-0.088425,0.023246,0.061689,-0.053208,-0.174096,0.062389,0.000432
0.071454,0.016096,0.051557,0.021959,0.060849,0.079066,0.080893,-0.022334,0.032454,-0.13289,0.040507,0.071818,-0.10007,0.072772,0.036473,-0.009424,0.042234,0.122225,0.116499,0.041641,0.066032,-0.016098,0.042976,0.08016,-0.012658,0.104237,0.075243,-0.084376,0.055966,0.018361,0.060191,0.039175,0.060505,-0.007216,0.096035,0.037903,-0.034524,0.065362,0.116772,0.061637,0.074245,0.071303,-0.042291,-0.126501,0.080601,0.053757,-0.02564
0.02062,0.030259,-0.011397,0.01858,0.095247,0.016264,0.029217,0.019217,-0.028405,0.023258,0.042206,0.019599,0.007344,0.069093,0.065192,0.078853,0.011325,-0.081778,0.047568,0.115772,0.023149,0.139145,0.028121,0.015294,0.089249,0.071591,0.016451,0.01674,0.106399,-0.027909,0.074125,0.025831,0.051383,0.055479,-0.006846,-0.006726,-0.071942,0.068531,0.17321,-0.018198,0.082495,0.077793,0.12558,-0.091625,0.087245,0.043306,0.038083
0.067197,-0.009691,0.059275,0.012316,0.026449,0.0619,0.006809,0.127021,0.000433,-0.004413,0.092455,0.061705,-0.052435,-0.05891,0.10224,0.016191,0.043366,0.007129,0.058373,0.094817,-0.106449,0.012333,0.054216,0.076783,0.054927,-0.031422,-0.037338,-0.022038,0.139138,-0.103402,0.077334,0.013122,-0.022363,0.259907,-0.07057,-0.131309,-0.065529,0.006195,0.152454,-0.02743,0.044776,0.014262,0.079366,0.092107,-0.031446,0.074932,0.008361
