"aid","n.word","n.image","journalist"
"A0317",525,1,"鋼鐵人"
"A0318",1255,2,"鋼鐵人"
"A0319",1065,1,"小丑女"
"A0320",1218,1,"小丑女"
"A0321",528,1,"小丑女"
"A0322",1088,1,"鋼鐵人"
"A0323",1040,1,"鋼鐵人"
"A0324",940,1,"鋼鐵人"
"A0326",634,1,"緋紅女巫"
"A0327",704,1,"緋紅女巫"
"A0328",1090,1,"緋紅女巫"
"A0329",1071,2,"鋼鐵人"
"A0330",931,2,"鋼鐵人"
"A0331",947,1,"鋼鐵人"
"A0332",1039,1,"小丑女"
"A0333",915,1,"小丑女"
"A0334",1065,1,"小丑女"
"A0335",NA,NA,"其他"
"A0336",984,2,"緋紅女巫"
"A0337",1073,1,"緋紅女巫"
"A0338",923,1,"小丑女"
"A0339",1059,1,"小丑女"
"A0340",993,1,"鋼鐵人"
"A0341",1062,1,"小丑女"
"A0342",854,1,"緋紅女巫"
"A0343",945,1,"緋紅女巫"
"A0345",1067,1,"緋紅女巫"
"A0346",945,1,"鋼鐵人"
"A0347",1065,1,"鋼鐵人"
"A0348",772,1,"鋼鐵人"
"A0349",1030,1,"緋紅女巫"
"A0350",996,1,"緋紅女巫"
"A0351",976,1,"緋紅女巫"
"A0352",815,1,"小丑女"
"A0353",901,1,"小丑女"
"A0354",837,1,"小丑女"
"A0355",1039,1,"鋼鐵人"
"A0356",1081,1,"小丑女"
"A0357",1065,1,"小丑女"
"A0358",1069,1,"小丑女"
"A0359",1074,1,"緋紅女巫"
"A0360",992,1,"鋼鐵人"
"A0361",1109,1,"鋼鐵人"
"A0362",865,3,"鋼鐵人"
"A0363",951,1,"緋紅女巫"
"A0364",1023,1,"小丑女"
"A0365",923,1,"小丑女"
"A0366",938,1,"小丑女"
"A0367",1138,1,"鋼鐵人"
"A0368",1073,1,"鋼鐵人"
"A0369",1005,1,"小丑女"
"A0370",1085,1,"小丑女"
"A0371",1340,1,"小丑女"
"A0372",940,1,"緋紅女巫"
"A0373",581,1,"緋紅女巫"
"A0374",973,1,"緋紅女巫"
"A0375",300,1,"鋼鐵人"
"A0376",1266,1,"鋼鐵人"
"A0377",1098,1,"鋼鐵人"
"A0378",1078,1,"小丑女"
"A0379",1005,1,"小丑女"
"A0380",647,1,"小丑女"
"A0381",653,1,"緋紅女巫"
"A0382",1018,1,"小丑女"
"A0383",1072,1,"小丑女"
"A0384",1612,1,"小丑女"
"A0385",1150,1,"鋼鐵人"
"A0386",1086,1,"鋼鐵人"
"A0387",1153,1,"鋼鐵人"
"A0388",837,1,"鳳凰女"
"A0389",527,1,"鋼鐵人"
"A0390",1229,1,"鋼鐵人"
"A0391",1170,1,"鋼鐵人"
"A0392",1205,1,"小丑女"
"A0393",1256,1,"小丑女"
"A0394",1042,1,"小丑女"
"A0395",1038,1,"鳳凰女"
"A0396",1042,1,"鳳凰女"
"A0398",524,1,"鋼鐵人"
"A0399",456,1,"鋼鐵人"
"A0400",1222,2,"鋼鐵人"
"A0401",1267,1,"鳳凰女"
"A0402",1140,1,"小丑女"
"A0403",1114,1,"小丑女"
"A0404",1105,2,"鋼鐵人"
"A0405",1194,1,"小丑女"
"A0406",1169,2,"小丑女"
"A0407",1032,2,"小丑女"
"A0408",1594,1,"鋼鐵人"
"A0410",1469,1,"鋼鐵人"
"A0411",1262,2,"鋼鐵人"
"A0413",1110,1,"小丑女"
"A0415",1208,1,"小丑女"
"A0416",476,1,"鳳凰女"
"A0417",1172,1,"鋼鐵人"
"A0418",1251,1,"鋼鐵人"
"A0419",606,1,"鋼鐵人"
"A0420",1095,1,"小丑女"
"A0421",1576,2,"小丑女"
"A0422",1109,1,"小丑女"
"A0423",563,1,"鳳凰女"
"A0424",1228,2,"鋼鐵人"
"A0425",1088,1,"小丑女"
"A0426",662,1,"鋼鐵人"
"A0427",459,1,"鳳凰女"
"A0428",1062,1,"鳳凰女"
"A0429",1099,1,"小丑女"
"A0430",961,2,"鋼鐵人"
"A0431",1108,1,"鋼鐵人"
"A0432",607,1,"鳳凰女"
"A0433",1093,1,"鋼鐵人"
"A0434",1094,1,"小丑女"
"A0435",1013,1,"小丑女"
"A0436",439,1,"鳳凰女"
"A0438",1192,1,"鋼鐵人"
"A0439",680,1,"鋼鐵人"
"A0440",944,1,"小丑女"
"A0441",1083,1,"鳳凰女"
"A0442",1077,1,"小丑女"
"A0443",1715,2,"鳳凰女"
"A0446",1264,1,"鋼鐵人"
"A0447",1159,1,"小丑女"
"A0448",1012,1,"鳳凰女"
"A0449",747,1,"鳳凰女"
"A0450",1170,1,"小丑女"
"A0451",877,1,"鋼鐵人"
"A0452",1024,1,"鋼鐵人"
"A0453",958,1,"鳳凰女"
"A0454",993,1,"鳳凰女"
"A0455",963,1,"小丑女"
"A0456",976,1,"小丑女"
"A0457",516,1,"鳳凰女"
"A0458",835,1,"小丑女"
"A0459",1089,1,"鋼鐵人"
"A0460",868,1,"鳳凰女"
"A0461",1092,1,"小丑女"
"A0462",1056,2,"鋼鐵人"
"A0463",714,1,"小丑女"
"A0464",1121,1,"小丑女"
"A0465",942,1,"小丑女"
"A0466",1010,2,"鋼鐵人"
"A0467",885,1,"鋼鐵人"
"A0468",906,1,"鳳凰女"
"A0469",578,1,"鳳凰女"
"A0470",847,1,"鋼鐵人"
"A0471",1259,1,"鳳凰女"
"A0472",919,1,"鋼鐵人"
"A0473",1150,1,"小丑女"
"A0474",988,1,"小丑女"
"A0478",917,1,"鳳凰女"
"A0479",574,1,"鳳凰女"
"A0480",1360,1,"鋼鐵人"
"A0481",1033,1,"小丑女"
"A0482",810,1,"小丑女"
"A0483",1041,1,"鋼鐵人"
"A0484",479,1,"鋼鐵人"
"A0485",585,1,"鳳凰女"
"A0486",941,1,"鳳凰女"
"A0487",1114,1,"鋼鐵人"
"A0488",1480,1,"小丑女"
"A0490",813,1,"鳳凰女"
"A0491",460,1,"鳳凰女"
"A0492",1093,1,"鋼鐵人"
"A0493",1082,1,"鋼鐵人"
"A0494",922,1,"小丑女"
"A0495",1168,1,"鋼鐵人"
"A0496",554,1,"鋼鐵人"
"A0497",637,1,"鳳凰女"
"A0498",927,1,"鳳凰女"
"A0499",1272,1,"小丑女"
"A0500",1098,1,"小丑女"
"A0501",1063,1,"小丑女"
"A0502",1098,1,"小丑女"
"A0505",563,1,"鋼鐵人"
"A0506",692,1,"鋼鐵人"
"A0510",830,1,"鳳凰女"
"A0511",956,1,"鋼鐵人"
"A0512",1143,1,"鋼鐵人"
"A0513",1102,1,"小丑女"
"A0514",1077,1,"小丑女"
"A0515",1573,2,"小丑女"
"A0517",998,1,"鋼鐵人"
"A0518",1130,1,"鋼鐵人"
"A0520",998,1,"鳳凰女"
"A0521",1102,1,"鳳凰女"
"A0522",966,2,"鋼鐵人"
"A0523",664,1,"鋼鐵人"
"A0524",1001,1,"鳳凰女"
"A0525",985,1,"鳳凰女"
"A0526",1125,1,"小丑女"
"A0527",974,1,"鋼鐵人"
"A0528",879,1,"鋼鐵人"
"A0529",868,1,"鋼鐵人"
"A0530",935,1,"小丑女"
"A0531",763,1,"小丑女"
"A0532",875,1,"鳳凰女"
"A0533",728,1,"鳳凰女"
"A0534",900,1,"鋼鐵人"
"A0535",1070,1,"鋼鐵人"
"A0536",1121,1,"鳳凰女"
"A0537",860,1,"鳳凰女"
"A0538",1191,1,"鋼鐵人"
"A0539",1096,2,"鋼鐵人"
"A0540",670,1,"鳳凰女"
"A0541",845,1,"小丑女"
"A0542",1303,1,"小丑女"
"A0543",1063,1,"鳳凰女"
"A0545",755,1,"小丑女"
"A0546",1268,1,"小丑女"
"A0547",748,1,"小丑女"
"A0548",942,1,"鋼鐵人"
"A0549",1006,1,"鋼鐵人"
"A0551",1069,1,"鳳凰女"
"A0553",661,1,"其他"
"A0554",754,1,"鳳凰女"
"A0555",609,1,"鋼鐵人"
"A0556",951,1,"鳳凰女"
"A0557",1004,2,"鋼鐵人"
"A0558",985,2,"鋼鐵人"
"A0559",753,1,"小丑女"
"A0561",1193,1,"小丑女"
"A0563",1438,1,"鳳凰女"
"A0566",1100,1,"小丑女"
"A0567",1196,1,"小丑女"
"A0568",648,1,"其他"
"A0570",662,1,"小丑女"
"A0571",1218,2,"鋼鐵人"
"A0572",1142,2,"鋼鐵人"
"A0573",1146,1,"鳳凰女"
"A0574",819,1,"鳳凰女"
"A0578",1190,1,"鋼鐵人"
"A0580",875,1,"鳳凰女"
"A0582",1112,1,"鋼鐵人"
"A0583",1183,1,"鋼鐵人"
"A0586",678,1,"小丑女"
"A0587",1038,1,"小丑女"
"A0588",1042,1,"鳳凰女"
"A0589",790,1,"鳳凰女"
"A0590",922,2,"鳳凰女"
"A0591",699,2,"鳳凰女"
"A0592",1157,1,"鋼鐵人"
"A0593",507,1,"鋼鐵人"
"A0594",1360,1,"小丑女"
"A0595",729,1,"小丑女"
"A0596",1065,1,"小丑女"
"A0597",1009,1,"鋼鐵人"
"A0598",658,1,"鋼鐵人"
"A0599",1078,2,"小丑女"
"A0600",576,1,"鳳凰女"
"A0601",623,1,"鳳凰女"
"A0602",820,1,"鳳凰女"
"A0603",752,1,"鳳凰女"
"A0604",1609,1,"鋼鐵人"
"A0605",691,1,"鋼鐵人"
"A0606",587,1,"鋼鐵人"
"A0607",764,1,"小丑女"
"A0608",727,1,"小丑女"
"A0609",699,1,"鋼鐵人"
"A0610",799,1,"小丑女"
"A0611",671,1,"鋼鐵人"
"A0612",764,1,"鳳凰女"
"A0613",862,1,"鳳凰女"
"A0614",990,1,"鋼鐵人"
"A0615",681,1,"鋼鐵人"
"A0616",946,1,"鳳凰女"
"A0617",956,1,"鳳凰女"
"A0618",892,1,"鳳凰女"
"A0619",949,1,"鳳凰女"
"A0620",871,2,"鳳凰女"
"A0621",1086,1,"鋼鐵人"
"A0622",1131,2,"鋼鐵人"
"A0623",721,1,"鋼鐵人"
"A0624",701,1,"小丑女"
"A0625",887,1,"小丑女"
"A0626",992,1,"小丑女"
"A0627",1067,1,"鋼鐵人"
"A0629",776,1,"鳳凰女"
"A0630",809,1,"鳳凰女"
"A0631",963,1,"小丑女"
"A0632",764,1,"小丑女"
"A0633",1268,1,"小丑女"
"A0634",971,2,"鋼鐵人"
"A0635",630,1,"其他"
"A0636",920,1,"鳳凰女"
"A0637",1011,1,"鋼鐵人"
"A0638",621,1,"鋼鐵人"
"A0639",854,1,"鳳凰女"
"A0640",873,1,"鋼鐵人"
"A0641",578,1,"鋼鐵人"
"A0642",694,1,"鳳凰女"
"A0643",889,1,"鋼鐵人"
"A0644",1013,1,"小丑女"
"A0645",912,1,"小丑女"
"A0646",743,1,"鋼鐵人"
"A0647",574,1,"鳳凰女"
"A0648",1023,1,"鳳凰女"
"A0649",998,1,"鳳凰女"
"A0650",873,1,"小丑女"
"A0651",1035,1,"鋼鐵人"
"A0652",773,1,"鋼鐵人"
"A0653",1083,1,"鋼鐵人"
"A0654",1155,1,"鳳凰女"
"A0655",725,1,"鳳凰女"
"A0656",1003,1,"小丑女"
"A0657",1145,1,"小丑女"
"A0658",1119,1,"鋼鐵人"
"A0659",1090,1,"鋼鐵人"
"A0660",922,1,"鋼鐵人"
"A0662",1117,1,"鳳凰女"
"A0663",1011,1,"小丑女"
"A0664",848,1,"小丑女"
"A0665",995,1,"小丑女"
"A0666",890,1,"鋼鐵人"
"A0667",1495,3,"鋼鐵人"
"A0668",631,1,"鋼鐵人"
"A0669",746,1,"鳳凰女"
